Model,RMSE train,Q2 train,RMSE test,Q2 test
1D/2D Descriptor LinearRegression,0.01718,0.99745,0.54873,-1.30057
1D/2D Descriptor Ridge,0.03485,0.98949,0.40664,-0.26339
1D/2D Descriptor SVR,0.10325,0.90777,0.26587,0.45993
1D/2D Descriptor RandomForest,0.11260,0.89032,0.23256,0.58677
1D/2D Descriptor LightGBM,0.00469,0.99981,0.24368,0.54633
3D Descriptor LinearRegression,0.24048,0.49972,0.39826,-0.21187
3D Descriptor Ridge,0.24902,0.46354,0.32350,0.20044
3D Descriptor SVR,0.09072,0.92881,0.37218,-0.05836
3D Descriptor RandomForest,0.13803,0.83517,0.32382,0.19885
3D Descriptor LightGBM,0.00442,0.99983,0.32657,0.18515
ECFP4 Fingerprint LinearRegression,0.07809,0.94725,0.33386,0.14837
ECFP4 Fingerprint Ridge,0.07965,0.94512,0.34191,0.10684
ECFP4 Fingerprint SVR,0.12637,0.86186,0.37322,-0.06425
ECFP4 Fingerprint RandomForest,0.12626,0.86209,0.30744,0.27782
ECFP4 Fingerprint LightGBM,0.02048,0.99637,0.30216,0.30243
Author's Model,0.20611,0.63250,0.24073,0.55724
